category_list,main_sector
,Blanks
3D,Manufacturing
3D Printing,Manufacturing
3D Technology,Manufacturing
Accounting,"Social, Finance, Analytics, Advertising"
Active Lifestyle,Health
Ad Targeting,"Social, Finance, Analytics, Advertising"
Advanced Materials,Manufacturing
Adventure Travel,Automotive & Sports
Advertising,"Social, Finance, Analytics, Advertising"
Advertising Exchanges,"Social, Finance, Analytics, Advertising"
Advertising Networks,"Social, Finance, Analytics, Advertising"
Advertising Platforms,"Social, Finance, Analytics, Advertising"
Advice,Others
Aerospace,Automotive & Sports
Agriculture,Manufacturing
Air Pollution Control,Cleantech / Semiconductors
Algorithms,Others
All Markets,Others
All Students,Others
Alternative Medicine,Health
Alumni,Others
Analytics,"Social, Finance, Analytics, Advertising"
Android,"Social, Finance, Analytics, Advertising"
Angels,Others
Animal Feed,Health
Anything Capital Intensive,"Social, Finance, Analytics, Advertising"
App Discovery,"News, Search and Messaging"
App Marketing,"News, Search and Messaging"
App Stores,"News, Search and Messaging"
Application Performance Monitoring,"News, Search and Messaging"
Application Platforms,"News, Search and Messaging"
Apps,"News, Search and Messaging"
Aquaculture,Cleantech / Semiconductors
Architecture,Manufacturing
Archiving,"News, Search and Messaging"
Art,Entertainment
Artificial Intelligence,"Social, Finance, Analytics, Advertising"
Artists Globally,Entertainment
Assisitive Technology,Health
Assisted Living,Health
Auctions,"Social, Finance, Analytics, Advertising"
Audio,Entertainment
Audiobooks,Entertainment
Augmented Reality,"Social, Finance, Analytics, Advertising"
Auto,Automotive & Sports
Automated Kiosk,Automotive & Sports
Automotive,Automotive & Sports
B2B,"Social, Finance, Analytics, Advertising"
B2B Express Delivery,"Social, Finance, Analytics, Advertising"
Babies,Health
Baby Accessories,Health
Baby Boomers,Health
Baby Safety,Health
Banking,"Social, Finance, Analytics, Advertising"
Batteries,Manufacturing
Beauty,Health
Bicycles,Automotive & Sports
Big Data,"Social, Finance, Analytics, Advertising"
Big Data Analytics,"Social, Finance, Analytics, Advertising"
Billing,"Social, Finance, Analytics, Advertising"
Biofuels,Cleantech / Semiconductors
Bioinformatics,Cleantech / Semiconductors
Biomass Power Generation,Cleantech / Semiconductors
Biometrics,Cleantech / Semiconductors
Bio-Pharm,Cleantech / Semiconductors
Biotechnology,Cleantech / Semiconductors
Bitcoin,Cleantech / Semiconductors
Blogging Platforms,"News, Search and Messaging"
Boating Industry,Automotive & Sports
BPO Services,"Social, Finance, Analytics, Advertising"
Brand Marketing,"Social, Finance, Analytics, Advertising"
Brewing,Entertainment
Bridging Online and Offline,"Social, Finance, Analytics, Advertising"
Broadcasting,"News, Search and Messaging"
Brokers,"News, Search and Messaging"
Browser Extensions,"News, Search and Messaging"
Building Owners,"News, Search and Messaging"
Building Products,Manufacturing
Business Analytics,"Social, Finance, Analytics, Advertising"
Business Development,"Social, Finance, Analytics, Advertising"
Business Information Systems,"Social, Finance, Analytics, Advertising"
Business Intelligence,"Social, Finance, Analytics, Advertising"
Business Productivity,"Social, Finance, Analytics, Advertising"
Business Services,"Social, Finance, Analytics, Advertising"
Business Travelers,Entertainment
Cable,"News, Search and Messaging"
CAD,Automotive & Sports
Call Center Automation,"News, Search and Messaging"
Cannabis,Health
Carbon,Cleantech / Semiconductors
Career Management,"Social, Finance, Analytics, Advertising"
Career Planning,"Social, Finance, Analytics, Advertising"
Cars,Automotive & Sports
Casual Games,Entertainment
Celebrity,Entertainment
Certification Test,"News, Search and Messaging"
Charities,"Social, Finance, Analytics, Advertising"
Charity,"Social, Finance, Analytics, Advertising"
Charter Schools,"Social, Finance, Analytics, Advertising"
Chat,"News, Search and Messaging"
Chemicals,Cleantech / Semiconductors
Child Care,Health
China Internet,"News, Search and Messaging"
Civil Engineers,Manufacturing
Classifieds,"News, Search and Messaging"
Clean Energy,Cleantech / Semiconductors
Clean Technology,Cleantech / Semiconductors
Clean Technology IT,Cleantech / Semiconductors
Clinical Trials,Health
Cloud Computing,"News, Search and Messaging"
Cloud Data Services,"News, Search and Messaging"
Cloud Infrastructure,"News, Search and Messaging"
Cloud Management,"News, Search and Messaging"
Cloud Security,"News, Search and Messaging"
Cloud-Based Music,"News, Search and Messaging"
Coffee,Entertainment
Collaboration,"Social, Finance, Analytics, Advertising"
Collaborative Consumption,"Social, Finance, Analytics, Advertising"
Collectibles,Others
College Campuses,Others
College Recruiting,"Social, Finance, Analytics, Advertising"
Colleges,"Social, Finance, Analytics, Advertising"
Comics,Entertainment
Commercial Real Estate,"News, Search and Messaging"
Commercial Solar,Cleantech / Semiconductors
Commodities,Cleantech / Semiconductors
Communications Hardware,Manufacturing
Communications Infrastructure,Manufacturing
Communities,"Social, Finance, Analytics, Advertising"
Comparison Shopping,"News, Search and Messaging"
Computer Vision,Manufacturing
Computers,Manufacturing
Concentrated Solar Power,Cleantech / Semiconductors
Concerts,Entertainment
Console Gaming,Entertainment
Construction,Manufacturing
Consulting,"Social, Finance, Analytics, Advertising"
Consumer Behavior,"Social, Finance, Analytics, Advertising"
Consumer Electronics,Manufacturing
Consumer Goods,Manufacturing
Consumer Internet,"Social, Finance, Analytics, Advertising"
Consumer Lending,"Social, Finance, Analytics, Advertising"
Consumers,"Social, Finance, Analytics, Advertising"
Contact Centers,"Social, Finance, Analytics, Advertising"
Contact Management,"Social, Finance, Analytics, Advertising"
Content,Entertainment
Content Creators,Entertainment
Content Delivery,Entertainment
Content Discovery,Entertainment
Content Syndication,Entertainment
Contests,Entertainment
Cooking,Health
Corporate IT,"Social, Finance, Analytics, Advertising"
Corporate Training,"Social, Finance, Analytics, Advertising"
Corporate Wellness,Health
Cosmetic Surgery,Health
Cosmetics,Health
Coupons,"Social, Finance, Analytics, Advertising"
Coworking,"Social, Finance, Analytics, Advertising"
Craft Beer,Entertainment
Creative,Entertainment
Creative Industries,Entertainment
Credit,"Social, Finance, Analytics, Advertising"
Credit Cards,"Social, Finance, Analytics, Advertising"
CRM,"Social, Finance, Analytics, Advertising"
Crowdfunding,"Social, Finance, Analytics, Advertising"
Crowdsourcing,"Social, Finance, Analytics, Advertising"
Curated Web,"News, Search and Messaging"
Custom Retail,"Social, Finance, Analytics, Advertising"
Customer Service,"Social, Finance, Analytics, Advertising"
Customer Support Tools,"Social, Finance, Analytics, Advertising"
Cyber,"Social, Finance, Analytics, Advertising"
Cyber Security,"Social, Finance, Analytics, Advertising"
Data Center Automation,"Social, Finance, Analytics, Advertising"
Data Center Infrastructure,"Social, Finance, Analytics, Advertising"
Data Centers,"Social, Finance, Analytics, Advertising"
Data Integration,"Social, Finance, Analytics, Advertising"
Data Mining,"Social, Finance, Analytics, Advertising"
Data Privacy,"Social, Finance, Analytics, Advertising"
Data Security,"Social, Finance, Analytics, Advertising"
Data Visualization,"Social, Finance, Analytics, Advertising"
Databases,"Social, Finance, Analytics, Advertising"
Debt Collecting,"Social, Finance, Analytics, Advertising"
Defense,Manufacturing
Delivery,"News, Search and Messaging"
Demographies,"News, Search and Messaging"
Dental,Health
Design,Automotive & Sports
Designers,Automotive & Sports
Developer APIs,"Social, Finance, Analytics, Advertising"
Developer Tools,"Social, Finance, Analytics, Advertising"
Development Platforms,"Social, Finance, Analytics, Advertising"
Diabetes,Health
Diagnostics,Health
Dietary Supplements,Health
Digital Entertainment,Entertainment
Digital Media,Entertainment
Digital Rights Management,Entertainment
Digital Signage,Entertainment
Direct Advertising,"Social, Finance, Analytics, Advertising"
Direct Marketing,"News, Search and Messaging"
Direct Sales,"News, Search and Messaging"
Discounts,"Social, Finance, Analytics, Advertising"
Displays,Manufacturing
Disruptive Models,Cleantech / Semiconductors
Distribution,Others
Distributors,Others
DIY,Others
Doctors,Health
Document Management,Others
DOD/Military,Manufacturing
Domains,"News, Search and Messaging"
Drones,Automotive & Sports
Early-Stage Technology,Cleantech / Semiconductors
EBooks,Entertainment
E-Books,Entertainment
E-Commerce,Others
E-Commerce Platforms,Others
EDA Tools,Others
Ediscovery,Others
EdTech,Others
Education,Others
Educational Games,Entertainment
Edutainment,Entertainment
Elder Care,Health
Electric Vehicles,Automotive & Sports
Electrical Distribution,Manufacturing
Electronic Health Records,Health
Electronics,Manufacturing
Email,"News, Search and Messaging"
Email Marketing,"Social, Finance, Analytics, Advertising"
Email Newsletters,"Social, Finance, Analytics, Advertising"
Embedded Hardware and Software,Manufacturing
Emerging Markets,Others
Employer Benefits Programs,"Social, Finance, Analytics, Advertising"
Employment,Others
Energy,Cleantech / Semiconductors
Energy Efficiency,Cleantech / Semiconductors
Energy IT,Cleantech / Semiconductors
Energy Management,Cleantech / Semiconductors
Energy Storage,Cleantech / Semiconductors
Engineering Firms,Others
Enterprise 2.0,Others
Enterprise Application,Others
Enterprise Purchasing,"Social, Finance, Analytics, Advertising"
Enterprise Resource Planning,Others
Enterprise Search,"News, Search and Messaging"
Enterprise Security,Others
Enterprise Software,Others
Enterprises,Others
Entertainment,Entertainment
Entertainment Industry,Entertainment
Entrepreneur,Others
Environmental Innovation,Cleantech / Semiconductors
Estimation and Quoting,"Social, Finance, Analytics, Advertising"
Event Management,Entertainment
Events,Entertainment
Exercise,Health
Eyewear,Health
Face Recognition,"Social, Finance, Analytics, Advertising"
Facebook Applications,"Social, Finance, Analytics, Advertising"
Families,Others
Fantasy Sports,Entertainment
Farmers Market,Manufacturing
Farming,Manufacturing
Fashion,Entertainment
Fertility,Cleantech / Semiconductors
Field Support Services,Others
File Sharing,Others
Film,Entertainment
Film Distribution,Entertainment
Film Production,Entertainment
Finance,"Social, Finance, Analytics, Advertising"
Finance Technology,"Social, Finance, Analytics, Advertising"
Financial Exchanges,"Social, Finance, Analytics, Advertising"
Financial Services,"Social, Finance, Analytics, Advertising"
FinTech,"Social, Finance, Analytics, Advertising"
Fitness,Health
Flash Sales,Others
Flash Storage,Others
Fleet Management,Others
Flowers,Others
Fmcg,Manufacturing
Food Processing,Manufacturing
Forums,"News, Search and Messaging"
Fraud Detection,"Social, Finance, Analytics, Advertising"
Freelancers,Others
Freemium,"Social, Finance, Analytics, Advertising"
FreetoPlay Gaming,Entertainment
Fruit,Others
Fuel Cells,Cleantech / Semiconductors
Fuels,Automotive & Sports
Funeral Industry,Cleantech / Semiconductors
Furniture,Manufacturing
Gadget,Manufacturing
Gambling,Entertainment
Game,Entertainment
Game Mechanics,Entertainment
Games,Entertainment
Gamification,Entertainment
Gas,Cleantech / Semiconductors
Gay & Lesbian,Others
General Public Worldwide,Others
Genetic Testing,Health
Geospatial,Others
Gift Card,Others
Gift Exchange,Others
Gift Registries,Others
Gold,"Social, Finance, Analytics, Advertising"
Governance,Others
Government Innovation,Others
Governments,Others
Gps,"News, Search and Messaging"
Graphics,"News, Search and Messaging"
Green,Cleantech / Semiconductors
Green Consumer Goods,Cleantech / Semiconductors
Groceries,Manufacturing
Group Buying,"Social, Finance, Analytics, Advertising"
Group SMS,"News, Search and Messaging"
Guides,Others
Handmade,Manufacturing
Hardware,Manufacturing
Hardware + Software,Manufacturing
Health and Insurance,Health
Health and Wellness,Health
Health Care,Health
Health Care Information Technology,Health
Health Diagnostics,Health
Health Services Industry,Health
Healthcare Services,Health
Heavy Industry,Automotive & Sports
Hedge Funds,"Social, Finance, Analytics, Advertising"
High School Students,Others
High Schools,Others
High Tech,Others
Home & Garden,Cleantech / Semiconductors
Home Automation,Cleantech / Semiconductors
Home Decor,Cleantech / Semiconductors
Home Owners,Others
Home Renovation,Others
Homeland Security,Others
Homeless Shelter,Others
Hospitality,Others
Hospitals,Health
Hotels,Entertainment
Human Computer Interaction,Others
Human Resource Automation,Others
Human Resources,Others
Humanitarian,Others
IaaS,Others
ICT,Others
Identity,Others
Identity Management,"Social, Finance, Analytics, Advertising"
Image Recognition,"Social, Finance, Analytics, Advertising"
Impact Investing,"Social, Finance, Analytics, Advertising"
Incentives,"Social, Finance, Analytics, Advertising"
Incubators,"Social, Finance, Analytics, Advertising"
Independent Music Labels,Entertainment
Independent Pharmacies,Health
Indians,Others
Indoor Positioning,Others
Industrial,Manufacturing
Industrial Automation,Automotive & Sports
In-Flight Entertainment,Entertainment
Information Security,"Social, Finance, Analytics, Advertising"
Information Services,"Social, Finance, Analytics, Advertising"
Information Technology,"Social, Finance, Analytics, Advertising"
Infrastructure,"Social, Finance, Analytics, Advertising"
Innovation Engineering,"Social, Finance, Analytics, Advertising"
Innovation Management,"Social, Finance, Analytics, Advertising"
Insurance,"Social, Finance, Analytics, Advertising"
Intellectual Asset Management,Others
Intellectual Property,Others
Intelligent Systems,Others
Interest Graph,Others
Interface Design,Entertainment
Interior Design,Entertainment
Internet,"News, Search and Messaging"
Internet Infrastructure,"News, Search and Messaging"
Internet Marketing,"Social, Finance, Analytics, Advertising"
Internet of Things,"Social, Finance, Analytics, Advertising"
Internet Radio Market,"News, Search and Messaging"
Internet Service Providers,"News, Search and Messaging"
Investment Management,"Social, Finance, Analytics, Advertising"
iOS,Others
iPad,Others
iPhone,Others
IT and Cybersecurity,Others
IT Management,Others
Jewelry,Entertainment
Journalism,"News, Search and Messaging"
K-12 Education,Others
Kids,Others
Knowledge Management,Others
Landscaping,Others
Language Learning,Others
Lasers,Health
Law Enforcement,Others
Lead Generation,Others
Lead Management,Others
Legal,Others
Leisure,Entertainment
Licensing,Others
Life Sciences,Others
Lifestyle,Entertainment
Lifestyle Businesses,Entertainment
Lifestyle Products,Entertainment
Lighting,Cleantech / Semiconductors
Limousines,Automotive & Sports
Linux,Others
Local,Others
Local Advertising,"Social, Finance, Analytics, Advertising"
Local Based Services,Others
Local Businesses,Others
Local Commerce,Others
Local Search,"News, Search and Messaging"
Location Based Services,Others
Logistics,Others
Logistics Company,Others
Lotteries,"Social, Finance, Analytics, Advertising"
Low Bid Auctions,Others
Loyalty Programs,Others
M2M,Others
Machine Learning,"Social, Finance, Analytics, Advertising"
Manufacturing,Manufacturing
Maps,"News, Search and Messaging"
Market Research,"Social, Finance, Analytics, Advertising"
Marketing Automation,"Social, Finance, Analytics, Advertising"
Marketplaces,Others
Mass Customization,Others
Match-Making,Others
Material Science,Cleantech / Semiconductors
Mechanical Solutions,Cleantech / Semiconductors
Media,Entertainment
Medical,Health
Medical Devices,Health
Medical Professionals,Health
Meeting Software,"News, Search and Messaging"
Mens Specific,Health
Messaging,"News, Search and Messaging"
mHealth,Health
MicroBlogging,"News, Search and Messaging"
Micro-Enterprises,Others
Minerals,Cleantech / Semiconductors
Mining Technologies,Cleantech / Semiconductors
Mobile,"News, Search and Messaging"
Mobile Advertising,"Social, Finance, Analytics, Advertising"
Mobile Analytics,"Social, Finance, Analytics, Advertising"
Mobile Commerce,"Social, Finance, Analytics, Advertising"
Mobile Devices,"News, Search and Messaging"
Mobile Enterprise,"News, Search and Messaging"
Mobile Games,Entertainment
Mobile Health,Health
Mobile Infrastructure,Manufacturing
Mobile Payments,"Social, Finance, Analytics, Advertising"
Mobile Security,Others
Mobile Shopping,"Social, Finance, Analytics, Advertising"
Mobile Social,"News, Search and Messaging"
Mobile Software Tools,Manufacturing
Mobile Video,Entertainment
Mobility,Others
Monetization,"Social, Finance, Analytics, Advertising"
Moneymaking,"Social, Finance, Analytics, Advertising"
Multi-level Marketing,"Social, Finance, Analytics, Advertising"
Music,Entertainment
Music Education,Entertainment
Music Services,Entertainment
Music Venues,Entertainment
Musical Instruments,Entertainment
Musicians,Entertainment
Nanotechnology,Cleantech / Semiconductors
Natural Language Processing,Cleantech / Semiconductors
Natural Resources,Cleantech / Semiconductors
Navigation,"News, Search and Messaging"
Network Security,Others
Networking,Others
Neuroscience,Health
New Product Development,Manufacturing
New Technologies,Manufacturing
News,"News, Search and Messaging"
Non Profit,Others
Nonprofits,Others
Non-Tech,Others
Nutrition,Health
Office Space,Others
Oil,Others
Oil & Gas,Others
Oil and Gas,Others
Online Dating,"News, Search and Messaging"
Online Education,Others
Online Gaming,Entertainment
Online Identity,Others
Online Rental,"News, Search and Messaging"
Online Reservations,"News, Search and Messaging"
Online Scheduling,"News, Search and Messaging"
Online Shopping,"News, Search and Messaging"
Online Travel,"News, Search and Messaging"
Online Video Advertising,Entertainment
Open Source,Others
Opinions,Others
Optical Communications,Manufacturing
Optimization,Others
Organic,Health
Organic Food,Health
Outdoors,Health
Outsourcing,Others
P2P Money Transfer,"Social, Finance, Analytics, Advertising"
PaaS,"Social, Finance, Analytics, Advertising"
Parenting,Others
Parking,Others
Payments,"Social, Finance, Analytics, Advertising"
Peer-to-Peer,"News, Search and Messaging"
Performance Marketing,"Social, Finance, Analytics, Advertising"
Personal Branding,"Social, Finance, Analytics, Advertising"
Personal Data,Others
Personal Finance,"Social, Finance, Analytics, Advertising"
Personal Health,Health
Personalization,Others
Pervasive Computing,Others
Pets,Health
Pharmaceuticals,Health
Photo Editing,Entertainment
Photo Sharing,Entertainment
Photography,Entertainment
Physical Security,Others
Physicians,Health
Plumbers,Others
Point of Sale,Others
Politics,Others
Polling,Others
Portals,Others
Postal and Courier Services,Others
Pre Seed,"Social, Finance, Analytics, Advertising"
Predictive Analytics,"Social, Finance, Analytics, Advertising"
Presentations,Others
Price Comparison,"Social, Finance, Analytics, Advertising"
Printing,Others
Privacy,Others
Private School,Others
Private Social Networking,"News, Search and Messaging"
Procurement,Others
Product Design,Others
Product Development Services,Others
Productivity,Others
Productivity Software,Others
Professional Networking,"News, Search and Messaging"
Professional Services,Others
Project Management,Others
Promotional,"Social, Finance, Analytics, Advertising"
Property Management,"Social, Finance, Analytics, Advertising"
Public Relations,"Social, Finance, Analytics, Advertising"
Public Safety,Health
Public Transportation,Health
Publishing,"News, Search and Messaging"
Q&A,"News, Search and Messaging"
QR Codes,Others
Real Estate,Others
Real Time,Others
Realtors,Others
Recreation,Others
Recruiting,"News, Search and Messaging"
Recycling,Cleantech / Semiconductors
Religion,Others
Renewable Energies,Cleantech / Semiconductors
Renewable Tech,Cleantech / Semiconductors
Rental Housing,Others
Reputation,Others
Resorts,Entertainment
Restaurants,Entertainment
Retail,"Social, Finance, Analytics, Advertising"
Retail Technology,"Social, Finance, Analytics, Advertising"
Reviews and Recommendations,Entertainment
RFID,Others
Ride Sharing,"News, Search and Messaging"
Risk Management,"Social, Finance, Analytics, Advertising"
Robotics,Others
SaaS,Others
Sales and Marketing,"Social, Finance, Analytics, Advertising"
Sales Automation,Others
Search,"News, Search and Messaging"
Search Marketing,"News, Search and Messaging"
Security,Others
Semiconductor Manufacturing Equipment,Cleantech / Semiconductors
Semiconductors,Cleantech / Semiconductors
Senior Citizens,Health
Senior Health,Health
Sensors,Others
SEO,"News, Search and Messaging"
Service Industries,Others
Service Providers,Others
Services,Others
SexTech,Health
Shared Services,Others
Shipping,Others
Shoes,Entertainment
Shopping,Entertainment
Simulation,Others
Skill Assessment,Others
Small and Medium Businesses,Others
Smart Grid,Others
SNS,Others
Soccer,Automotive & Sports
Social + Mobile + Local,"Social, Finance, Analytics, Advertising"
Social Bookmarking,"Social, Finance, Analytics, Advertising"
Social Business,"Social, Finance, Analytics, Advertising"
Social Buying,"Social, Finance, Analytics, Advertising"
Social Commerce,"Social, Finance, Analytics, Advertising"
Social CRM,"Social, Finance, Analytics, Advertising"
Social Fundraising,"Social, Finance, Analytics, Advertising"
Social Games,"Social, Finance, Analytics, Advertising"
Social Media,"Social, Finance, Analytics, Advertising"
Social Media Management,"Social, Finance, Analytics, Advertising"
Social Media Marketing,"Social, Finance, Analytics, Advertising"
Social Media Platforms,"Social, Finance, Analytics, Advertising"
Social Network Media,"Social, Finance, Analytics, Advertising"
Social News,"Social, Finance, Analytics, Advertising"
Social Recruiting,"Social, Finance, Analytics, Advertising"
Social Television,"Social, Finance, Analytics, Advertising"
Social Travel,"Social, Finance, Analytics, Advertising"
Software,Others
Solar,Cleantech / Semiconductors
Space Travel,Cleantech / Semiconductors
Specialty Chemicals,Health
Specialty Foods,Health
Speech Recognition,Health
Sporting Goods,Automotive & Sports
Sports,Automotive & Sports
Staffing Firms,Others
Startups,Others
Stock Exchanges,"Social, Finance, Analytics, Advertising"
Storage,Manufacturing
Subscription Service,Others
Supply Chain Management,Others
Surveys,Others
Synchronization,Others
Systems,Others
Task Management,Others
Taxis,Others
Tea,Others
Technology,Others
Telecommunications,Others
Television,Entertainment
Textiles,Others
Theatre,Entertainment
Therapeutics,Health
Ticketing,Entertainment
Tourism,Entertainment
Tracking,Others
Trading,Others
Training,Others
Translation,Others
Transportation,Automotive & Sports
Travel,Entertainment
Travel & Tourism,Entertainment
Universities,Others
University Students,Others
Unmanned Air Systems,Automotive & Sports
Usability,Others
User Experience Design,Others
User Interface,Others
Utilities,Others
Vending and Concessions,Others
Venture Capital,"Social, Finance, Analytics, Advertising"
Veterinary,Health
Video,Entertainment
Video Conferencing,Entertainment
Video Games,Entertainment
Video on Demand,Entertainment
Video Streaming,Entertainment
Virtual Workforces,Entertainment
VoIP,Entertainment
Waste Management,Cleantech / Semiconductors
Watch,Others
Water,Cleantech / Semiconductors
Water Purification,Cleantech / Semiconductors
Wearables,Cleantech / Semiconductors
Web Browsers,"News, Search and Messaging"
Web Design,"News, Search and Messaging"
Web Development,Others
Web Hosting,Others
Web Tools,Others
Weddings,Entertainment
Wholesale,Others
Wine And Spirits,Entertainment
Wireless,Entertainment
Women,Others
Young Adults,Others
